#  X     Y1
13495   2548
16500   2548
16500   2823
13950   2337
17450   2824
15250   2507
17710   2844
18920   2954
23875   3086
16430   2395
16925   2395
20970   2710
21105   2765
24565   3055
30760   3230
41315   3380
36880   3505
5151   1488
6295   1874
6575   1909
5572   1876
6377   1876
7957   2128
6229   1967
6692   1989
7609   1989
8558   2191
8921   2535
12964   2811
6479   1713
6855   1819
5399   1837
6529   1940
7129   1956
7295   2010
7295   2024
7895   2236
9095   2289
8845   2304
10295   2372
12945   2465
10345   2293
6785   2337
11048   2734
32250   4066
35550   4066
36000   3950
5195   1890
6095   1900
6795   1905
6695   1945
7395   1950
10945   2380
11845   2380
13645   2385
15645   2500
8845   2385
8495   2410
10595   2385
10245   2410
10795   2443
11245   2425
18280   2670
18344   2700
25552   3515
28248   3750
28176   3495
31600   3770
34184   3740
35056   3685
40960   3900
45400   3715
16503   2910
5389   1918
6189   1944
6669   2004
7689   2145
9959   2370
8499   2328
12629   2833
14869   2921
14489   2926
6989   2365
8189   2405
9279   2403
9279   2403
5499   1889
7099   2017
6649   1918
6849   1938
7349   2024
7299   1951
7799   2028
7499   1971
7999   2037
8249   2008
8949   2324
9549   2302
13499   3095
14399   3296
13499   3060
17199   3071
19699   3139
18399   3139
11900   3020
13200   3197
12440   3230
13860   3430
15580   3075
16900   3252
16695   3285
17075   3485
16630   3075
17950   3252
18150   3130
5572   1918
7957   2128
6229   1967
6692   1989
7609   2191
8921   2535
12764   2818
22018   2778
32528   2756
34028   2756
37028   2800
9295   2579
9895   2460
11850   2658
12170   2695
15040   2707
15510   2758
18150   2808
18620   2847
5118   2050
7053   2120
7603   2240
7126   2145
7775   2190
9960   2340
9233   2385
11259   2510
7463   2290
10198   2455
8013   2420
11694   2650
5348   1985
6338   2040
6488   2015
6918   2280
7898   2290
8778   3110
6938   2081
7198   2109
7898   2275
7788   2275
7738   2094
8358   2122
9258   2140
8058   2169
8238   2204
9298   2265
9538   2300
8449   2540
9639   2536
9989   2551
11199   2679
11549   2714
17669   2975
8948   2326
10698   2480
9988   2414
10898   2414
11248   2458
16558   2976
15998   3016
15690   3131
15750   3151
7775   2261
7975   2209
7995   2264
8195   2212
8495   2275
9495   2319
9995   2300
11595   2254
9980   2221
13295   2661
13845   2579
12290   2563
12940   2912
13415   3034
15985   2935
16515   3042
18420   3045
18950   3157
16845   2952
19045   3049
21485   3012
22470   3217
22625   3062
